"ID"	"Type"	"Name"	"Documentation"	"Source"	"Target"	"Specialization"
"id-ddd57017c7c64ccfbcd1fdfb95c1935d"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-c3d9ce694ab84b228bf41ce491d51ff1"	""
"id-c4bdf5fbed9a4596bd922e92416c0c95"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-af96792beb964b0baafddf5dbfdd80e5"	""
"id-3327aeda8360484882791c7d4b181e90"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-b3172ef212924ada82befe51f8173eb7"	""
"id-5fbc80bc9ee54cee82a3ad726d6d11e7"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-5c05aa029c794682bd9548f60413a0a1"	""
"id-89ee47d8333e48498eae910b8b73201b"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-b27689a27f0b47d2b6da6cbca6aa8dcf"	""
"id-3144088b7f1349bbb664f16cc69ef931"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-44d3d91876764b658e51242df8d66ba9"	""
"id-d4b2c66a84be4172abfc64255502f55f"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-23180fe8c9144a3587ff3f64eab39096"	""
"id-d44a12267aeb477f8b70a97126451ccd"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-c245402b3a7e4b4f9d5d8ba2d6d246cb"	""
"id-82b83e01f71e43d0b9ece4bc531f3317"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-87723e8585af46bc8b750f1ecc66edf5"	""
"id-b4c63b9a84fa42759798b1f0893cd3c0"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-5040ec00a04c482298ecb108deba8259"	""
"id-0860c3b497744c6790ab78e0d6d4c4da"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-48e319efd9554015ad0348717db3e6b5"	""
"id-3938aa36629f4d7ca82279b8066ea611"	"AssociationRelationship"	""	""	"id-69da15dbe2594bf79e8133fcf8ea7f8b"	"id-a86af3f5728a4732b2aaf3f257ef818e"	""
"id-f9c71ddb8b12463f80bebc672b5e7582"	"AssociationRelationship"	""	""	"id-7bd1e2b1315345ed82e5b9d7c755c6fe"	"id-eb637af41abb47598ba8ccf62085557c"	""
"id-198e0411084d43c89e2d33d00fa04e72"	"AssociationRelationship"	""	""	"id-921a13d7f5914142a6af210bb5a7ba07"	"id-a217b9f21842413fb74bca280d88a0a3"	""
"id-6ceb96b91e124fd6952c01528229af5c"	"AssociationRelationship"	""	""	"id-84f7a5531be440a29a2019db8c22e988"	"id-921a13d7f5914142a6af210bb5a7ba07"	""
"id-521725407f56403c8e2d70558ebb44b7"	"AssociationRelationship"	""	""	"id-53f4ba782e7d4936bf4d4aedfec85913"	"id-921a13d7f5914142a6af210bb5a7ba07"	""
"id-013b73e2f3644d49b092c37f53944d81"	"AssociationRelationship"	""	""	"id-1d8685805928411396af461ef6e2d5ed"	"id-921a13d7f5914142a6af210bb5a7ba07"	""
"id-eb8ec2731193490ea3afe7d6535b6af3"	"AssociationRelationship"	""	""	"id-921a13d7f5914142a6af210bb5a7ba07"	"id-410d7f20a06742bfaf5c65e6d9540a95"	""
"id-6fc16d159e714d7d98d2d620179eb654"	"AssociationRelationship"	""	""	"id-2056db53357342d3af9796e42eb30796"	"id-921a13d7f5914142a6af210bb5a7ba07"	""
"id-40d2065d219e49d1a4e05fb032503cf4"	"AssociationRelationship"	""	""	"id-4d8c9cf2e0d24d238791b015d1b16c06"	"id-921a13d7f5914142a6af210bb5a7ba07"	""
"id-7e1730c875f243c39362ea77715cdc4f"	"AssociationRelationship"	""	""	"id-6584a0c8a6484048924d1288a3636c54"	"id-921a13d7f5914142a6af210bb5a7ba07"	""
"id-a6f41ab4db0a4a4db3a8bef00511d445"	"AssociationRelationship"	""	""	"id-ca360dfa05694e66a069abf2252a49b1"	"id-53b316d243804816acbe48684b9b9453"	""
"id-8c637f13ef7e421681dd189208eb8c19"	"AssociationRelationship"	""	""	"id-921a13d7f5914142a6af210bb5a7ba07"	"id-8b8b3e6f63b6493cb79d792c4aaa382b"	""
"id-dc8839b6ca0540b68d33374eafbbe406"	"AssociationRelationship"	""	""	"id-ca360dfa05694e66a069abf2252a49b1"	"id-8b8b3e6f63b6493cb79d792c4aaa382b"	""
"id-6e113771499e4b9bb6f0473325231a78"	"AssociationRelationship"	""	""	"id-c276cde451b94bbd866de06dd9e88f07"	"id-8268fb4d35fd44c8bc02c3fe75f31402"	""
"id-1ffa95e9490c47208c49c46e1a1fc46e"	"AssociationRelationship"	""	""	"id-c276cde451b94bbd866de06dd9e88f07"	"id-410d7f20a06742bfaf5c65e6d9540a95"	""
"id-6151476763f84ef5a94e14ed41701964"	"AssociationRelationship"	""	""	"id-a65247d9b9e84d258f580a9bfd2f9db7"	"id-adcc8e9aa7454d43b98138c83f781a04"	""
"id-6a96d2d4c98a4ed8a3e6ed9187b9f730"	"AssociationRelationship"	""	""	"id-a65247d9b9e84d258f580a9bfd2f9db7"	"id-8268fb4d35fd44c8bc02c3fe75f31402"	""
"id-3755171ad3e14a7f9400c7d295622003"	"AssociationRelationship"	""	""	"id-a65247d9b9e84d258f580a9bfd2f9db7"	"id-6cb3f4d7838a41be9b6265513e9039b0"	""
"id-94a4982ad916412f8928cced19756770"	"AssociationRelationship"	""	""	"id-c276cde451b94bbd866de06dd9e88f07"	"id-6cb3f4d7838a41be9b6265513e9039b0"	""
"id-4c76f3af77414050a550d961df94f7fa"	"AssociationRelationship"	""	""	"id-a65247d9b9e84d258f580a9bfd2f9db7"	"id-410d7f20a06742bfaf5c65e6d9540a95"	""
"id-dc6f86b20eae499c9dd611ecc0271df5"	"AssociationRelationship"	""	""	"id-0263e98a331f470e96d72b87f7e40bbd"	"id-0af5506e7b3d465bbeda8d56ef92dba3"	""
"id-8e5a14a716c14a41ba5c9139dec5f540"	"AssociationRelationship"	""	""	"id-8f18cfecbcec45fea30995ee3d0b6914"	"id-adcc8e9aa7454d43b98138c83f781a04"	""
"id-691bab9478a2472e8f412016e6645c7e"	"AssociationRelationship"	""	""	"id-8f18cfecbcec45fea30995ee3d0b6914"	"id-8268fb4d35fd44c8bc02c3fe75f31402"	""
"id-51f4aff2ce6447a290d492028e9b83f2"	"AssociationRelationship"	""	""	"id-8f18cfecbcec45fea30995ee3d0b6914"	"id-6cb3f4d7838a41be9b6265513e9039b0"	""
"id-c6c54669ac7a4d36848aab31f0bdb4fa"	"AssociationRelationship"	""	""	"id-8f18cfecbcec45fea30995ee3d0b6914"	"id-410d7f20a06742bfaf5c65e6d9540a95"	""
"id-c4eb4a85b9b94580beacbb5c285a02d1"	"AssociationRelationship"	""	""	"id-3ea280454d214c64a0b209afccb66404"	"id-43593b3004234cb3b0a4ef4c02bff8d5"	""
"id-fa9bb75ecbb948528e8c1a6c4c070389"	"AssociationRelationship"	""	""	"id-3ea280454d214c64a0b209afccb66404"	"id-48e319efd9554015ad0348717db3e6b5"	""
"id-c27361e2cf4a41e396b33248ab307256"	"AssociationRelationship"	""	""	"id-3ea280454d214c64a0b209afccb66404"	"id-8c8055ffe3d34a3d8633b22465e7a06f"	""
"id-4bbad93e06a04e41a8b8558e442d42b8"	"AssociationRelationship"	""	""	"id-3ea280454d214c64a0b209afccb66404"	"id-e54aa09f675b4d989d4458e2f2c55437"	""
"id-78ea59cc9fa34168aae7cbe2796610f3"	"AssociationRelationship"	""	""	"id-bcddb472a50b44db846dc7c650ae6925"	"id-aef32662a2ef47f49894a22cafa58903"	""
"id-3dd1d01b296f4a41b7754881eed27ea2"	"AssociationRelationship"	""	""	"id-3ea280454d214c64a0b209afccb66404"	"id-a6f2ea9cfc8446d5a8919f517c3cad2c"	""
"id-97bc0d97600e41a9858185bfa62c5c13"	"AssociationRelationship"	""	""	"id-26a3a714964c4041a61cf561827a7b8c"	"id-a6f2ea9cfc8446d5a8919f517c3cad2c"	""
"id-4c44b975e87740c6933317ff7f2b3b21"	"AssociationRelationship"	""	""	"id-3ea280454d214c64a0b209afccb66404"	"id-62913ece2b3c45d4a067a7494d0208ca"	""
